snt_id,sdr,sdr_i,si-snr,si-snr_i
AM Contra - Heart Peripheral_0,-16.064698846805875,-52.33758573237964,3.175724744796753,3.1700756549835205
Al James - Schoolboy Facination_0,-15.484858368129135,-46.981135459207195,1.3355497121810913,1.4365724325180054
Arise - Run Run Run_0,-19.101043731122893,-57.447056845193835,2.809187412261963,2.7754600048065186
BKS - Bulldozer_0,-12.792270387430326,-49.34594385799383,1.6631784439086914,1.8274164199829102
BKS - Too Much_0,-24.924327444970555,-60.50789969012369,3.189155101776123,3.188932418823242
Bobby Nobody - Stitch Up_0,-21.489851639217484,-55.44067103563089,1.939725399017334,1.942702293395996
Buitraker - Revo X_0,-28.98852703482271,-67.98798670942259,-30.694610595703125,-10.181049346923828
Carlos Gonzalez - A Place For Us_0,-0.20465840134085103,-36.22431671290748,-0.08656734228134155,-0.2009439468383789
Cristina Vane - So Easy_0,-17.72044506888924,-53.85162189126197,-31.0245304107666,-9.076896667480469
Detsky Sad - Walkie Talkie_0,-8.121424364380891,-40.973572684459846,-33.135581970214844,-9.53834342956543
Enda Reilly - Cur An Long Ag Seol_0,-25.610555316499436,-63.02754953318875,2.28305721282959,2.3224589824676514
Forkupines - Semantics_0,-24.101675966734177,-57.633361582678354,-32.112754821777344,-8.864070892333984
Georgia Wonder - Siren_0,-15.856429208745356,-47.75069659225398,-31.56038475036621,-7.495965957641602
Girls Under Glass - We Feel Alright_0,-2.0878039967889492,-33.812945094380765,-32.324493408203125,-8.178085327148438
Hollow Ground - Ill Fate_0,-15.774263188455024,-49.57826954139247,3.147193431854248,3.173689842224121
Louis Cressy Band - Good Time_0,-21.451923544106776,-53.42581270867894,-32.54057312011719,-8.507545471191406
Lyndsey Ollard - Catching Up_0,-14.279187950963696,-50.623605426168346,0.8004794120788574,0.7843546867370605
M.E.R.C. Music - Knockout_0,-7.673199303162783,-38.62303907433351,1.0972973108291626,1.1032930612564087
Moosmusic - Big Dummy Shake_0,-24.890930002940053,-61.43786602236243,1.6109323501586914,1.7561297416687012
Motor Tapes - Shore_0,-20.25431237039459,-53.39689552295869,-0.1868448257446289,-0.24918341636657715
Mu - Too Bright_0,-15.541927149471832,-52.58517036282416,3.0328025817871094,3.0780303478240967
Nerve 9 - Pray For The Rain_0,-23.148878510662488,-59.72747092730306,1.9270795583724976,1.9789198637008667
PR - Happy Daze_0,-20.60565410374499,-58.98822426360217,-17.728363037109375,-13.1329345703125
PR - Oh No_0,-23.090109835976484,-41.71048042552431,-1.6152067184448242,1.0160408020019531
Punkdisco - Oral Hygiene_0,-8.031247516186433,-45.54112274637849,3.509478807449341,3.533494234085083
Raft Monk - Tiring_0,-23.377132143003628,-56.93927858424,1.8151060342788696,1.6871668100357056
Sambasevam Shanmugam - Kaathaadi_0,-2.7026287276939214,-40.35867607670181,-0.35952138900756836,-0.25060439109802246
Secretariat - Borderline_0,-12.505695811790991,-47.56748764709075,0.27658557891845703,-0.005741596221923828
Secretariat - Over The Top_0,-15.211064463487316,-47.85184755791455,0.7170624732971191,0.7827067375183105
Side Effects Project - Sing With Me_0,-16.059383145188615,-50.05433109819981,3.723393440246582,3.7227041721343994
Signe Jakobsen - What Have You Done To Me_0,-21.433961202844593,-57.39141474343414,1.6981616020202637,1.6657743453979492
Skelpolu - Resurrection_0,-6.969964712598463,-40.333917984508425,-27.63484001159668,-12.570117950439453
Speak Softly - Broken Man_0,-1.431695235621771,-38.54519573794656,1.4964090585708618,1.49235999584198
Speak Softly - Like Horses_0,-4.607141525098413,-39.87903720582029,-0.6223205924034119,-0.574681282043457
The Doppler Shift - Atrophy_0,10.512148025080489,-30.593753059563287,-19.555007934570312,-2.5205459594726562
The Easton Ellises (Baumi) - SDRNR_0,-14.82826587690278,-49.28593861090481,-24.310941696166992,-5.077186584472656
The Easton Ellises - Falcon 69_0,-8.902870663317463,-42.539318283472,1.9093024730682373,1.9141013622283936
The Mountaineering Club - Mallory_0,-17.738009395077448,-54.38868828547168,-33.69516372680664,-11.999971389770508
The Sunshine Garcia Band - For I Am The Moon_0,-10.42019270964811,-48.661326554222285,4.009802341461182,4.035112380981445
Timboz - Pony_0,-8.801204520550092,-38.757116266073645,2.568593978881836,2.60811710357666
Tom McKenzie - Directions_0,-30.777038410733187,-72.05450690166086,2.5691118240356445,2.5675668716430664
Triviul feat. The Fiend - Widow_0,-13.350333969414097,-49.36483741781875,1.7613368034362793,1.7161242961883545
We Fell From The Sky - Not You_0,-24.437261556899053,-56.42916272151225,-1.6216192245483398,-1.5590343475341797
Zeno - Signs_0,-24.6398372778517,-58.18952305318797,1.2469627857208252,1.2350008487701416
avg,-15.34026674033146,-50.18512859618984,-6.715833084149794,-1.2151953821832484
