snt_id,sdr,sdr_i,si-snr,si-snr_i
AM Contra - Heart Peripheral_0,-19.645807661757935,-19.69008881077158,11.332265853881836,11.352497100830078
Al James - Schoolboy Facination_0,-7.3120425526703485,-7.288590328859405,3.818398952484131,3.9219298362731934
Arise - Run Run Run_0,-10.0353069677099,-10.086146529003347,5.667913436889648,5.681474685668945
BKS - Bulldozer_0,-30.38458588930454,-23.84670748914628,-27.208391189575195,-5.699649810791016
BKS - Too Much_0,-18.238948226449896,-21.159629849629294,-18.45726203918457,-2.8061294555664062
Carlos Gonzalez - A Place For Us_0,-6.193054053544735,-6.474131724818119,2.256718158721924,2.0421202182769775
Enda Reilly - Cur An Long Ag Seol_0,-15.048375213260616,-15.002165839302299,8.632689476013184,8.718313217163086
Hollow Ground - Ill Fate_0,-28.910952932262457,-24.959917455776825,-8.646932601928711,-0.20345497131347656
Lyndsey Ollard - Catching Up_0,-8.145472874993155,-8.131879999551074,3.8392844200134277,3.8892881870269775
M.E.R.C. Music - Knockout_0,-3.6708967197586926,-3.7598778692234367,-1.043963074684143,-1.0078588724136353
Motor Tapes - Shore_0,-5.332706873911451,-6.204186491285221,-3.7341012954711914,-4.114522457122803
Mu - Too Bright_0,-12.948117319054134,-12.933267677280607,7.685117244720459,7.748395919799805
Nerve 9 - Pray For The Rain_0,-10.36929871886438,-10.408015897148278,3.8769989013671875,3.8878517150878906
PR - Happy Daze_0,-17.51781515491619,-24.784398718232588,-11.788320541381836,-10.618490219116211
PR - Oh No_0,-9.037268245310806,-9.238058782493589,0.930992603302002,2.834202289581299
Punkdisco - Oral Hygiene_0,-12.438555637775906,-12.61067752438452,5.281132698059082,5.26619815826416
Sambasevam Shanmugam - Kaathaadi_0,-6.29835808637728,-6.205235566880349,2.920363664627075,3.062290668487549
Secretariat - Borderline_0,-12.644676182698333,-13.830916815379359,3.286827564239502,3.372267246246338
Side Effects Project - Sing With Me_0,-10.546570587548484,-10.55361820485862,6.209108352661133,6.226758003234863
Signe Jakobsen - What Have You Done To Me_0,-8.025551844592393,-8.070000495088593,3.862752914428711,3.8330516815185547
Skelpolu - Resurrection_0,-7.462983259035605,-10.282979274104306,-24.191360473632812,-10.714092254638672
Speak Softly - Broken Man_0,-9.215635485033456,-9.24122450267182,6.055171966552734,6.0509490966796875
Speak Softly - Like Horses_0,-4.400501535365455,-4.454994823369242,0.43072715401649475,0.40681615471839905
The Doppler Shift - Atrophy_0,-7.10787537339059,-11.018930375466894,-31.22535514831543,-12.250326156616211
The Easton Ellises (Baumi) - SDRNR_0,-8.621400633137117,-14.115105034501823,-22.35317611694336,-13.45089340209961
The Easton Ellises - Falcon 69_0,-10.601189094696258,-13.583560048073396,-15.783553123474121,-12.277863502502441
The Sunshine Garcia Band - For I Am The Moon_0,-12.60169913437042,-13.160312017322992,5.544524192810059,5.5950469970703125
Timboz - Pony_0,-5.7190502151842,-5.76698815456737,2.5682151317596436,2.5871458053588867
Tom McKenzie - Directions_0,-14.327472335089949,-14.461527541106804,8.084297180175781,8.043827056884766
Triviul feat. The Fiend - Widow_0,-13.422885840621612,-13.552939540288579,8.540596961975098,8.453129768371582
avg,-11.540835154956211,-12.162535779352888,-2.120277292529742,0.9943424234787623
