snt_id,sdr,sdr_i,si-snr,si-snr_i
AM Contra - Heart Peripheral_0,9.62361144306806,9.599880096720618,9.378536224365234,9.37288761138916
Al James - Schoolboy Facination_0,3.7646009800201297,3.8184364798962083,3.1276845932006836,3.2287070751190186
Arise - Run Run Run_0,5.4127865869701735,5.344312347312252,4.715403079986572,4.681676864624023
BKS - Bulldozer_0,3.595660830161746,3.3030798215713464,2.8760995864868164,3.040337562561035
BKS - Too Much_0,9.075896800225575,9.048404846072149,8.440086364746094,8.439864158630371
Bobby Nobody - Stitch Up_0,6.47850524054598,6.440669738112492,6.2365288734436035,6.239505767822266
Carlos Gonzalez - A Place For Us_0,-0.6697835135038668,-0.819458645756759,-1.2744946479797363,-1.388871431350708
Enda Reilly - Cur An Long Ag Seol_0,6.058399815098398,6.080404732822967,5.601788520812988,5.641190528869629
Hollow Ground - Ill Fate_0,6.134313407803244,6.089495324582571,6.029283046722412,6.055779457092285
Lyndsey Ollard - Catching Up_0,0.3440614243840532,0.29902761299582004,0.12039303779602051,0.10426783561706543
M.E.R.C. Music - Knockout_0,1.97303877565294,1.9376759883220487,0.6129631996154785,0.6189589500427246
Moosmusic - Big Dummy Shake_0,5.322205988648188,5.3042362055638375,3.9232654571533203,4.068461894989014
Motor Tapes - Shore_0,0.781253836462859,0.6204076340111615,0.3021279573440552,0.23978936672210693
Mu - Too Bright_0,7.078150720296339,7.102316184285211,5.683287620544434,5.728515625
Nerve 9 - Pray For The Rain_0,5.3526536581724935,5.3580538347044175,4.8979997634887695,4.949839115142822
PR - Happy Daze_0,1.0784366898737012,-4.523578553391481,-19.126012802124023,-14.525396347045898
PR - Oh No_0,-1.9774505149229293,-2.168352448420781,-5.423217296600342,-2.7919697761535645
Punkdisco - Oral Hygiene_0,8.592087909119476,8.505697241638298,7.59534215927124,7.61935567855835
Raft Monk - Tiring_0,3.6864396990447923,3.4738866519300604,3.253838539123535,3.125898599624634
Sambasevam Shanmugam - Kaathaadi_0,3.3107434680719603,3.384625028356695,2.6484720706939697,2.7573893070220947
Secretariat - Borderline_0,1.7983828347175081,1.3972366707788901,1.4107847213745117,1.1284584999084473
Secretariat - Over The Top_0,7.502558193633822,7.403316663593655,7.0691237449646,7.134768009185791
Side Effects Project - Sing With Me_0,6.967663774109608,6.950730749701716,6.313328742980957,6.312640190124512
Signe Jakobsen - What Have You Done To Me_0,4.670347045589271,4.617258709411873,3.0734879970550537,3.0411009788513184
Skelpolu - Resurrection_0,-12.07315803373908,-13.265740960389039,-26.36176872253418,-11.251873016357422
Speak Softly - Broken Man_0,3.4759273521776675,3.4492965467008796,3.1874680519104004,3.1834187507629395
Speak Softly - Like Horses_0,0.9909231737355892,1.0182022953363914,-0.2047736495733261,-0.15713410079479218
The Doppler Shift - Atrophy_0,-14.03089413081268,-17.514268416022666,-33.484439849853516,-15.317184448242188
The Easton Ellises (Baumi) - SDRNR_0,-4.890621647630753,-8.414620535788178,-28.21874237060547,-8.980424880981445
The Easton Ellises - Falcon 69_0,6.271003760240562,6.173780845339055,5.857133388519287,5.861930847167969
The Sunshine Garcia Band - For I Am The Moon_0,5.7811544595796045,5.753911769278518,5.32863187789917,5.353942394256592
Timboz - Pony_0,4.479226307482315,4.451932473559687,4.1874494552612305,4.226973056793213
Tom McKenzie - Directions_0,6.294776331604645,6.247405391541879,5.689008712768555,5.687463760375977
Triviul feat. The Fiend - Widow_0,6.809604172871467,6.742835968040315,6.31636905670166,6.2711567878723145
We Fell From The Sky - Not You_0,4.413851709128541,4.15355019013584,3.6014046669006348,3.663989543914795
Zeno - Signs_0,6.275403828736991,6.22530621450351,5.2344255447387695,5.222463130950928
avg,3.326437843794955,2.877482074918096,0.5171740754610963,2.182996593001816
